family_type,group,lock_type,metric,n,mean,std_dev,ci_low,ci_high
category+sub_network,SC_Binary_pi,integer,exp_a_2,4,1.319,0.6641,0,2.5
category+sub_network,SC_Binary_pi,integer,exp_b_3,4,0.735,0.3905,0,1.5
category+sub_network,SC_Binary_pi,integer,exp_c_5,4,0.232,0.2048,0,0.75
category+sub_network,SC_Binary_pi,integer,exp_d_7,4,0.485,0.2383,0,1
category+sub_network,SC_Binary_pi,rational,q_avg,2,6.04,0.6974,5,7
category+sub_network,SC_Binary_sigma,integer,exp_a_2,6,0.8203,0.2785,0.3333,1.333
category+sub_network,SC_Binary_sigma,integer,exp_b_3,6,0.6663,0.3027,0.07917,1.333
category+sub_network,SC_Binary_sigma,integer,exp_c_5,6,0.502,0.1938,0.1667,0.8333
category+sub_network,SC_Binary_sigma,integer,exp_d_7,6,0.3293,0.1912,0,0.6667
category+sub_network,SC_Binary_sigma-vs-pi,rational,q_avg,4,6.33,1.505,2.75,8
category+sub_network,SC_Binary_single,integer,exp_a_2,24,1.269,0.2647,0.7917,1.833
category+sub_network,SC_Binary_single,integer,exp_b_3,24,0.5764,0.1777,0.25,0.9167
category+sub_network,SC_Binary_single,integer,exp_c_5,24,0.3372,0.0997,0.1667,0.5417
category+sub_network,SC_Binary_single,integer,exp_d_7,24,0.4624,0.1302,0.2083,0.7302
category+sub_network,SC_Binary_single,rational,q_avg,6,6.153,0.653,4.833,7.333
category+sub_network,SC_HeavyFermion_single,rational,q_avg,18,5.373,0.4829,4.389,6.389
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_a_2,3,1.379,1.081,0,4
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_b_3,3,0,0,0,0
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_c_5,3,0.6407,0.2773,0,1
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_d_7,3,0,0,0,0
category+sub_network,SC_HighPressure_H1-optic-sigma-vs-H2-optic-pi,rational,q_avg,2,2.496,0.3647,2,3
category+sub_network,SC_HighPressure_H2-optic-pi,rational,q_avg,3,4.67,1.119,3,6.683
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_a_2,3,1.355,1.076,0,4
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_b_3,3,0.666,0.2696,0,1
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_c_5,3,0.3387,0.2691,0,1
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_d_7,3,0,0,0,0
category+sub_network,SC_HighPressure_single,integer,exp_a_2,97,1.081,0.1059,0.8915,1.309
category+sub_network,SC_HighPressure_single,integer,exp_b_3,97,0.512,0.08091,0.3554,0.6701
category+sub_network,SC_HighPressure_single,integer,exp_c_5,97,0.3421,0.05976,0.2371,0.4639
category+sub_network,SC_HighPressure_single,integer,exp_d_7,97,0.08398,0.0286,0.03093,0.1443
category+sub_network,SC_HighPressure_single,rational,q_avg,116,5.918,0.1813,5.543,6.259
category+sub_network,SC_IronBased_pi,rational,q_avg,3,2.665,0.2704,2,3
category+sub_network,SC_IronBased_sigma,integer,exp_a_2,1,1,0,1,1
category+sub_network,SC_IronBased_sigma,integer,exp_b_3,1,0,0,0,0
category+sub_network,SC_IronBased_sigma,integer,exp_c_5,1,0,0,0,0
category+sub_network,SC_IronBased_sigma,integer,exp_d_7,1,1,0,1,1
category+sub_network,SC_IronBased_sigma,rational,q_avg,2,4.445,1.792,2,7
category+sub_network,SC_IronBased_sigma-vs-pi,rational,q_avg,2,1,0,1,1
category+sub_network,SC_IronBased_single,integer,exp_a_2,4,0.517,0.4315,0,1.5
category+sub_network,SC_IronBased_single,integer,exp_b_3,4,0.7515,0.2159,0.25,1
category+sub_network,SC_IronBased_single,integer,exp_c_5,4,0,0,0,0
category+sub_network,SC_IronBased_single,integer,exp_d_7,4,0.2485,0.2159,0,0.75
category+sub_network,SC_IronBased_single,rational,q_avg,32,4.811,0.3239,4.156,5.454
category+sub_network,SC_Molecular_single,rational,q_avg,12,5.151,0.622,4,6.25
category+sub_network,SC_Oxide_single,rational,q_avg,18,4.928,0.4116,4.138,5.696
category+sub_network,SC_TypeI_single,integer,exp_a_2,27,1.55,0.2194,1.111,2
category+sub_network,SC_TypeI_single,integer,exp_b_3,27,0.8088,0.1799,0.4444,1.168
category+sub_network,SC_TypeI_single,integer,exp_c_5,27,0.512,0.1409,0.2398,0.7778
category+sub_network,SC_TypeI_single,integer,exp_d_7,27,0.4089,0.1057,0.2222,0.6296
category+sub_network,SC_TypeII_single,integer,exp_a_2,27,1.912,0.3429,1.333,2.649
category+sub_network,SC_TypeII_single,integer,exp_b_3,27,0.5782,0.1575,0.2963,0.8889
category+sub_network,SC_TypeII_single,integer,exp_c_5,27,0.5206,0.152,0.2222,0.8343
category+sub_network,SC_TypeII_single,integer,exp_d_7,27,0.4036,0.1074,0.1852,0.6296
category+sub_network,Superfluid_0-bar,rational,q_avg,3,1.994,0.8402,1,4
category+sub_network,Superfluid_0-bar-vs-10-bar,rational,q_avg,2,4.584,2.454,1,8
category+sub_network,Superfluid_1-bar,rational,q_avg,3,1,0,1,1
category+sub_network,Superfluid_1-bar-vs-10-bar,rational,q_avg,2,1,0,1,1
category+sub_network,Superfluid_10-bar,rational,q_avg,6,2.176,0.6708,1,3.5
