family_type,group,lock_type,metric,n,mean,std_dev,ci_low,ci_high
category+sub_network,SC_Binary_pi,integer,exp_a_2,4,1.26,0.6273,0,2.5
category+sub_network,SC_Binary_pi,integer,exp_b_3,4,0.7275,0.4045,0,1.5
category+sub_network,SC_Binary_pi,integer,exp_c_5,4,0.2405,0.2062,0,0.75
category+sub_network,SC_Binary_pi,integer,exp_d_7,4,0.5005,0.2426,0,1
category+sub_network,SC_Binary_pi,rational,q_avg,2,6.044,0.7253,5,7
category+sub_network,SC_Binary_sigma,integer,exp_a_2,6,0.84,0.2979,0.3333,1.5
category+sub_network,SC_Binary_sigma,integer,exp_b_3,6,0.6823,0.301,0.1667,1.333
category+sub_network,SC_Binary_sigma,integer,exp_c_5,6,0.5103,0.2088,0.1667,0.8333
category+sub_network,SC_Binary_sigma,integer,exp_d_7,6,0.344,0.1941,0,0.6667
category+sub_network,SC_Binary_sigma-vs-pi,rational,q_avg,4,6.32,1.512,2.75,8
category+sub_network,SC_Binary_single,integer,exp_a_2,24,1.276,0.2856,0.75,1.875
category+sub_network,SC_Binary_single,integer,exp_b_3,24,0.5842,0.1848,0.2698,0.9583
category+sub_network,SC_Binary_single,integer,exp_c_5,24,0.3383,0.09766,0.1448,0.5
category+sub_network,SC_Binary_single,integer,exp_d_7,24,0.4582,0.1346,0.2083,0.7302
category+sub_network,SC_Binary_single,rational,q_avg,6,6.171,0.6302,4.833,7.333
category+sub_network,SC_HeavyFermion_single,rational,q_avg,18,5.375,0.4973,4.36,6.389
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_a_2,3,1.304,1.065,0,4
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_b_3,3,0,0,0,0
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_c_5,3,0.6533,0.2561,0,1
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_d_7,3,0,0,0,0
category+sub_network,SC_HighPressure_H1-optic-sigma-vs-H2-optic-pi,rational,q_avg,2,2.497,0.3681,2,3
category+sub_network,SC_HighPressure_H2-optic-pi,rational,q_avg,3,4.671,1.185,2,7
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_a_2,3,1.357,1.081,0,4
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_b_3,3,0.672,0.2859,0,1
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_c_5,3,0.3393,0.2703,0,1
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_d_7,3,0,0,0,0
category+sub_network,SC_HighPressure_single,integer,exp_a_2,97,1.083,0.1067,0.8866,1.309
category+sub_network,SC_HighPressure_single,integer,exp_b_3,97,0.5148,0.07579,0.376,0.6701
category+sub_network,SC_HighPressure_single,integer,exp_c_5,97,0.3408,0.06077,0.2214,0.4639
category+sub_network,SC_HighPressure_single,integer,exp_d_7,97,0.08419,0.02705,0.03582,0.1443
category+sub_network,SC_HighPressure_single,rational,q_avg,116,5.915,0.1942,5.534,6.306
category+sub_network,SC_IronBased_pi,rational,q_avg,3,2.651,0.2637,2,3
category+sub_network,SC_IronBased_sigma,integer,exp_a_2,1,1,0,1,1
category+sub_network,SC_IronBased_sigma,integer,exp_b_3,1,0,0,0,0
category+sub_network,SC_IronBased_sigma,integer,exp_c_5,1,0,0,0,0
category+sub_network,SC_IronBased_sigma,integer,exp_d_7,1,1,0,1,1
category+sub_network,SC_IronBased_sigma,rational,q_avg,2,4.465,1.771,2,7
category+sub_network,SC_IronBased_sigma-vs-pi,rational,q_avg,2,1,0,1,1
category+sub_network,SC_IronBased_single,integer,exp_a_2,4,0.519,0.4383,0,1.5
category+sub_network,SC_IronBased_single,integer,exp_b_3,4,0.7405,0.2151,0.25,1
category+sub_network,SC_IronBased_single,integer,exp_c_5,4,0,0,0,0
category+sub_network,SC_IronBased_single,integer,exp_d_7,4,0.2595,0.2151,0,0.75
category+sub_network,SC_IronBased_single,rational,q_avg,32,4.82,0.3492,4.188,5.531
category+sub_network,SC_Molecular_single,rational,q_avg,12,5.102,0.581,3.873,6.167
category+sub_network,SC_Oxide_single,rational,q_avg,18,4.933,0.435,4.056,5.751
category+sub_network,SC_TypeI_single,integer,exp_a_2,27,1.544,0.2173,1.111,1.963
category+sub_network,SC_TypeI_single,integer,exp_b_3,27,0.8153,0.1725,0.4815,1.168
category+sub_network,SC_TypeI_single,integer,exp_c_5,27,0.525,0.1484,0.2028,0.8148
category+sub_network,SC_TypeI_single,integer,exp_d_7,27,0.4083,0.1094,0.1852,0.6296
category+sub_network,SC_TypeII_single,integer,exp_a_2,27,1.911,0.3199,1.333,2.501
category+sub_network,SC_TypeII_single,integer,exp_b_3,27,0.5853,0.1694,0.2963,0.9259
category+sub_network,SC_TypeII_single,integer,exp_c_5,27,0.5155,0.1484,0.2593,0.8148
category+sub_network,SC_TypeII_single,integer,exp_d_7,27,0.407,0.1119,0.1852,0.6296
category+sub_network,Superfluid_0-bar,rational,q_avg,3,2.008,0.8173,1,4
category+sub_network,Superfluid_0-bar-vs-10-bar,rational,q_avg,2,4.71,2.544,1,8
category+sub_network,Superfluid_1-bar,rational,q_avg,3,1,0,1,1
category+sub_network,Superfluid_1-bar-vs-10-bar,rational,q_avg,2,1,0,1,1
category+sub_network,Superfluid_10-bar,rational,q_avg,6,2.11,0.65,1,3.5
