name,sum_err_before,sum_err_after_full
(La0.5Y0.5)H8,0.0272451,0.027188
(LaY)H10,0.0237668,0.02434
(LaY)H4,0.0333082,0.0316752
(LaY)H6,0.0256708,0.0263237
(TMTSF)2PF6 (under P),0.0236002,0.0592454
AcH10,0.077296,0.0773284
Al,0.179915,0.195206
AlH3,0.167569,0.168335
B2H6,0.0255203,0.0255332
BH,0.0844161,0.0877341
Ba(Fe0.8Co0.2)2As2,0.0269025,0.0269234
Ba(Fe0.9Co0.1)2As2,0.0258824,0.0266313
Ba0.6K0.4BiO3,0.013534,0.0135439
Ba0.6K0.4Fe2As2,0.0256099,0.0256231
BaH12,0.0227421,0.0227547
BaH6,0.144734,0.145604
BaPb0.75Bi0.25O3,0.0158083,0.0173253
Bi2Sr2CaCu2O8 (Bi-2212),0.0337739,0.0346354
CH4-H2 (clathrate),0.0199471,0.0207403
CaC6,0.148023,0.153388
CaH10,0.186687,0.187403
CaH6,0.169051,0.169102
Cd,0.188512,0.22225
CeCoIn5,0.0986334,0.105541
CeCu2Si2,0.0676474,0.0833587
CeH10,0.0441198,0.0450654
CeH9,0.0283818,0.0283998
Cs3C60,0.0128765,0.0122985
FeH5,0.0246833,0.0224114
FeSe (monolayer on STO),0.0608014,0.0616571
FeSe0.5Te0.5,0.0428857,0.0407992
FeSe0.7Te0.3,0.0663059,0.0671212
FeSe1-xSx (x=0.17),0.105218,0.108545
GaH3,0.161898,0.163697
GdH9,0.0196273,0.0196404
H3S,0.0237982,0.0242177
H6SBr,0.0364436,0.0364662
H6SCl,0.0385006,0.0371796
Hf,0.142871,0.585947
HfH10,0.190746,0.19111
Hg,0.11075,0.110934
In,0.123023,0.128286
InH3,0.182885,0.183809
InH5,0.0291515,0.0309832
K3C60,0.0387285,0.0374732
La,0.174804,0.177114
La2-xSrxCuO4 (LSCO x~0.15),0.0203603,0.0209773
LaBeH8,0.0390471,0.0397698
LaCeH18,0.0301794,0.0305528
LaH10,0.32612,0.326235
LaH8,0.0125295,0.0135484
LaO0.9F0.1FeAs,0.0304992,0.0291473
LaSc2H24,0.0413704,0.0418445
LaSr2H18,0.0510594,0.0510827
LaSr3H24,0.0478507,0.0467446
LaSrH12,0.024636,0.0246495
LaSrH21,0.0325593,0.0325737
LaThH12,0.0556508,0.0553143
LaYH20,0.0237668,0.02434
Li2MgH16,0.0511379,0.0515406
LiFeAs,0.00856246,0.00761154
LuH3,0.0974193,0.104914
MgCNi3,0.0104219,0.0160656
MgH12,0.0405104,0.0405276
MgH6,0.0366922,0.0372603
Mo,0.15637,0.234434
Mo3Si,0.19438,0.236833
MoH11,0.0107948,0.0103895
Nb,0.0496147,0.0497378
Nb3Al,0.104035,0.104169
Nb3Ge,0.0328651,0.0328996
Nb3Sn,0.0208529,0.0235293
NbN,0.199938,0.200313
NdFeAsO0.9F0.1,0.0189106,0.0192615
NdH9,0.0387285,0.0373162
Pb,0.128457,0.128612
PbMo6S8,0.0210165,0.0201269
PrFeAsO0.9F0.1,0.0189106,0.0192615
PrH10,0.027036,0.025728
PrH9,0.03659,0.0361004
Rb3C60,0.0112685,0.0115226
Re,0.0548446,0.103312
SH3 (Cmca),0.0282012,0.0291466
ScH12,0.0805425,0.0805808
ScH3,0.133183,0.136114
ScH6,0.138817,0.138925
ScZrH12,0.0466164,0.0466387
Si2H6,0.0128418,0.011296
SmFeAsO0.9F0.1,0.0181504,0.0173264
SmH9,0.019802,0.0187919
Sn,0.139075,0.13977
SrH10,0.0260437,0.0266148
SrH22,0.00373103,0.00317348
SrH6,0.098843,0.100096
SrTiO3-doped,0.00887321,0.249267
Ta,0.119282,0.123373
TaH6,0.0216708,0.0200809
TbH9,0.0385913,0.0374737
Th4H15,0.0129522,0.0112994
ThH10,0.045824,0.0462221
ThH9,0.0272527,0.0268643
Ti,0.157986,0.374469
TiN,0.0500795,0.0627438
Tl,0.201521,0.207357
UBe13,0.0218189,0.0697006
UH7,0.0258025,0.0234074
UPd2Al3,0.0430241,0.0627741
UPt3,0.0465541,0.130561
URu2Si2,0.0414084,0.071995
V,0.134119,0.148488
V3Si,0.18644,0.18811
VH8,0.0105342,0.00923437
Y3LuH24,0.0541256,0.0544004
YBa2Cu3O7 (YBCO),0.0196892,0.0191123
YCaH18,0.0574607,0.057484
YH10,0.0694099,0.0699133
YH4,0.101461,0.103286
YH6,0.210851,0.210911
YH9,0.177228,0.177568
YHfH12,0.0461789,0.0450727
YLu3H24,0.0341615,0.034429
YLuH12,0.0442755,0.0450754
YThH12,0.0207434,0.0207521
Zn,0.130591,0.203807
Zr,0.188197,0.291395
ZrH10,0.217576,0.218588
ZrN,0.0491601,0.0493616
