name,sum_err_before,sum_err_after_full
(La0.5Y0.5)H8,0.0272451,0.0271918
(LaY)H10,0.0237668,0.0244836
(LaY)H4,0.0333082,0.031266
(LaY)H6,0.0256708,0.0264872
(TMTSF)2PF6 (under P),0.0236002,0.0683241
AcH10,0.077296,0.0773366
Al,0.179915,0.212256
AlH3,0.167569,0.168528
B2H6,0.0255203,0.0255364
BH,0.0844161,0.0885661
Ba(Fe0.8Co0.2)2As2,0.0269025,0.0269285
Ba(Fe0.9Co0.1)2As2,0.0258824,0.026819
Ba0.6K0.4BiO3,0.013534,0.0135465
Ba0.6K0.4Fe2As2,0.0256099,0.0256263
BaH12,0.0227421,0.0227578
BaH6,0.144734,0.145822
BaPb0.75Bi0.25O3,0.0158083,0.0177061
Bi2Sr2CaCu2O8 (Bi-2212),0.0337739,0.0348512
CH4-H2 (clathrate),0.0199471,0.020939
CaC6,0.148023,0.154734
CaH10,0.186687,0.187583
CaH6,0.169051,0.169115
Cd,0.188512,0.244342
CeCoIn5,0.0986334,0.109208
CeCu2Si2,0.0676474,0.0941651
CeH10,0.0441198,0.0453024
CeH9,0.0283818,0.0284042
Cs3C60,0.0128765,0.0121538
FeH5,0.0246833,0.021842
FeSe (monolayer on STO),0.0608014,0.0618715
FeSe0.5Te0.5,0.0428857,0.0402758
FeSe0.7Te0.3,0.0663059,0.0673256
FeSe1-xSx (x=0.17),0.105218,0.109381
GaH3,0.161898,0.164147
GdH9,0.0196273,0.0196436
H3S,0.0237982,0.0243229
H6SBr,0.0364436,0.0364718
H6SCl,0.0385006,0.0368486
Hf,0.142871,0.72156
HfH10,0.190746,0.191201
Hg,0.11075,0.110979
In,0.123023,0.129609
InH3,0.182885,0.184041
InH5,0.0291515,0.0314426
K3C60,0.0387285,0.0371588
La,0.174804,0.177694
La2-xSrxCuO4 (LSCO x~0.15),0.0203603,0.0211319
LaBeH8,0.0390471,0.0399509
LaCeH18,0.0301794,0.0306463
LaH10,0.32612,0.326264
LaH8,0.0125295,0.0138038
LaO0.9F0.1FeAs,0.0304992,0.0288084
LaSc2H24,0.0413704,0.0419632
LaSr2H18,0.0510594,0.0510886
LaSr3H24,0.0478507,0.0464675
LaSrH12,0.024636,0.024653
LaSrH21,0.0325593,0.0325773
LaThH12,0.0556508,0.0552299
LaYH20,0.0237668,0.0244836
Li2MgH16,0.0511379,0.0516415
LiFeAs,0.00856246,0.00737304
LuH3,0.0974193,0.106803
MgCNi3,0.0104219,0.017486
MgH12,0.0405104,0.0405319
MgH6,0.0366922,0.0374026
Mo,0.15637,0.261727
Mo3Si,0.19438,0.249893
MoH11,0.0107948,0.0102879
Nb,0.0496147,0.0497698
Nb3Al,0.104035,0.104202
Nb3Ge,0.0328651,0.0329084
Nb3Sn,0.0208529,0.0242002
NbN,0.199938,0.200408
NdFeAsO0.9F0.1,0.0189106,0.0193495
NdH9,0.0387285,0.0369624
Pb,0.128457,0.12865
PbMo6S8,0.0210165,0.0199038
PrFeAsO0.9F0.1,0.0189106,0.0193495
PrH10,0.027036,0.0254003
PrH9,0.03659,0.0359778
Rb3C60,0.0112685,0.0115862
Re,0.0548446,0.115849
SH3 (Cmca),0.0282012,0.0293834
ScH12,0.0805425,0.0805905
ScH3,0.133183,0.136851
ScH6,0.138817,0.138952
ScZrH12,0.0466164,0.0466442
Si2H6,0.0128418,0.0109087
SmFeAsO0.9F0.1,0.0181504,0.0171199
SmH9,0.019802,0.0185388
Sn,0.139075,0.139949
SrH10,0.0260437,0.0267579
SrH22,0.00373103,0.00303375
SrH6,0.098843,0.10041
SrTiO3-doped,0.00887321,0.316795
Ta,0.119282,0.124404
TaH6,0.0216708,0.0196825
TbH9,0.0385913,0.0371936
Th4H15,0.0129522,0.0108853
ThH10,0.045824,0.0463218
ThH9,0.0272527,0.026767
Ti,0.157986,0.43982
TiN,0.0500795,0.068961
Tl,0.201521,0.208826
UBe13,0.0218189,0.090743
UH7,0.0258025,0.022807
UPd2Al3,0.0430241,0.0678085
UPt3,0.0465541,0.152454
URu2Si2,0.0414084,0.0798686
V,0.134119,0.15211
V3Si,0.18644,0.188528
VH8,0.0105342,0.00890874
Y3LuH24,0.0541256,0.0544693
YBa2Cu3O7 (YBCO),0.0196892,0.0189677
YCaH18,0.0574607,0.0574898
YH10,0.0694099,0.0700395
YH4,0.101461,0.103744
YH6,0.210851,0.210926
YH9,0.177228,0.177654
YHfH12,0.0461789,0.0447956
YLu3H24,0.0341615,0.034496
YLuH12,0.0442755,0.0452757
YThH12,0.0207434,0.02079
Zn,0.130591,0.224764
Zr,0.188197,0.318469
ZrH10,0.217576,0.218842
ZrN,0.0491601,0.0494162
