family_type,group,lock_type,metric,n,mean,std_dev,ci_low,ci_high
category+sub_network,SC_Binary_pi,integer,exp_a_2,4,1.31,0.6795,0,2.75
category+sub_network,SC_Binary_pi,integer,exp_b_3,4,0.7385,0.409,0,1.5
category+sub_network,SC_Binary_pi,integer,exp_c_5,4,0.238,0.2165,0,0.75
category+sub_network,SC_Binary_pi,integer,exp_d_7,4,0.4995,0.2447,0,1
category+sub_network,SC_Binary_pi,rational,q_avg,2,5.91,0.6971,5,7
category+sub_network,SC_Binary_sigma,integer,exp_a_2,6,0.836,0.2779,0.3333,1.5
category+sub_network,SC_Binary_sigma,integer,exp_b_3,6,0.6793,0.3069,0.1667,1.333
category+sub_network,SC_Binary_sigma,integer,exp_c_5,6,0.5067,0.1934,0.1667,0.8333
category+sub_network,SC_Binary_sigma,integer,exp_d_7,6,0.3403,0.1958,0,0.6667
category+sub_network,SC_Binary_sigma-vs-pi,rational,q_avg,4,6.25,1.509,2.75,8
category+sub_network,SC_Binary_single,integer,exp_a_2,24,1.276,0.2696,0.7917,1.833
category+sub_network,SC_Binary_single,integer,exp_b_3,24,0.5814,0.1856,0.25,0.9583
category+sub_network,SC_Binary_single,integer,exp_c_5,24,0.3396,0.09383,0.1667,0.5219
category+sub_network,SC_Binary_single,integer,exp_d_7,24,0.4677,0.1259,0.25,0.7083
category+sub_network,SC_Binary_single,rational,q_avg,6,6.192,0.6489,5,7.333
category+sub_network,SC_HeavyFermion_single,rational,q_avg,18,5.394,0.4805,4.5,6.333
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_a_2,3,1.291,1.052,0,3.367
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_b_3,3,0,0,0,0
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_c_5,3,0.6527,0.2797,0,1
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_d_7,3,0,0,0,0
category+sub_network,SC_HighPressure_H1-optic-sigma-vs-H2-optic-pi,rational,q_avg,2,2.462,0.3599,2,3
category+sub_network,SC_HighPressure_H2-optic-pi,rational,q_avg,3,4.765,1.215,2,7
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_a_2,3,1.357,1.081,0,4
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_b_3,3,0.6493,0.2783,0,1
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_c_5,3,0.3393,0.2703,0,1
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_d_7,3,0,0,0,0
category+sub_network,SC_HighPressure_single,integer,exp_a_2,97,1.077,0.1031,0.8866,1.294
category+sub_network,SC_HighPressure_single,integer,exp_b_3,97,0.5135,0.08252,0.3608,0.6907
category+sub_network,SC_HighPressure_single,integer,exp_c_5,97,0.3418,0.06316,0.2317,0.4845
category+sub_network,SC_HighPressure_single,integer,exp_d_7,97,0.08216,0.0281,0.03093,0.1394
category+sub_network,SC_HighPressure_single,rational,q_avg,116,5.91,0.1932,5.556,6.255
category+sub_network,SC_IronBased_pi,rational,q_avg,3,2.674,0.2628,2,3
category+sub_network,SC_IronBased_sigma,integer,exp_a_2,1,1,0,1,1
category+sub_network,SC_IronBased_sigma,integer,exp_b_3,1,0,0,0,0
category+sub_network,SC_IronBased_sigma,integer,exp_c_5,1,0,0,0,0
category+sub_network,SC_IronBased_sigma,integer,exp_d_7,1,1,0,1,1
category+sub_network,SC_IronBased_sigma,rational,q_avg,2,4.395,1.81,2,7
category+sub_network,SC_IronBased_sigma-vs-pi,rational,q_avg,2,1,0,1,1
category+sub_network,SC_IronBased_single,integer,exp_a_2,4,0.499,0.4201,0,1.5
category+sub_network,SC_IronBased_single,integer,exp_b_3,4,0.75,0.2139,0.25,1
category+sub_network,SC_IronBased_single,integer,exp_c_5,4,0,0,0,0
category+sub_network,SC_IronBased_single,integer,exp_d_7,4,0.25,0.2139,0,0.75
category+sub_network,SC_IronBased_single,rational,q_avg,32,4.809,0.3315,4.202,5.438
category+sub_network,SC_Molecular_single,rational,q_avg,12,5.178,0.5847,4.083,6.21
category+sub_network,SC_Oxide_single,rational,q_avg,18,4.934,0.4076,4.111,5.778
category+sub_network,SC_TypeI_single,integer,exp_a_2,27,1.569,0.2263,1.166,2.037
category+sub_network,SC_TypeI_single,integer,exp_b_3,27,0.8152,0.18,0.4991,1.205
category+sub_network,SC_TypeI_single,integer,exp_c_5,27,0.5199,0.1439,0.2593,0.8148
category+sub_network,SC_TypeI_single,integer,exp_d_7,27,0.397,0.1046,0.2222,0.5926
category+sub_network,SC_TypeII_single,integer,exp_a_2,27,1.926,0.3114,1.37,2.593
category+sub_network,SC_TypeII_single,integer,exp_b_3,27,0.6037,0.1761,0.2963,1
category+sub_network,SC_TypeII_single,integer,exp_c_5,27,0.5088,0.1571,0.2222,0.8343
category+sub_network,SC_TypeII_single,integer,exp_d_7,27,0.4044,0.1074,0.2222,0.6296
category+sub_network,Superfluid_0-bar,rational,q_avg,3,1.972,0.8119,1,4
category+sub_network,Superfluid_0-bar-vs-10-bar,rational,q_avg,2,4.514,2.435,1,8
category+sub_network,Superfluid_1-bar,rational,q_avg,3,1,0,1,1
category+sub_network,Superfluid_1-bar-vs-10-bar,rational,q_avg,2,1,0,1,1
category+sub_network,Superfluid_10-bar,rational,q_avg,6,2.189,0.6642,1,3.5
