scenario,winsor,prime,eta_hat,eta_ci_low,eta_ci_high,gamma_hat,gamma_ci_low,gamma_ci_high
baseline_w400_p10000,400.0,10000,4.190252909766648e-05,1.1360308846930448e-05,6.768040975016e-05,9.276754767479094e-17,8.435079991562686e-27,7.907754082458654e-16
baseline_w400_p7919,400.0,7919,4.2171560075948794e-05,1.3613410210549553e-05,6.93447870515537e-05,1.0551549066834696e-16,6.421224225690403e-26,9.610678368270546e-16
baseline_w600_p10000,600.0,10000,2.6964450247267087e-05,4.347078385159661e-06,4.4714303532026186e-05,5.2033636312637716e-17,3.084869712797946e-27,4.984159218094903e-16
baseline_w600_p7919,600.0,7919,2.710198484432091e-05,5.992068271640349e-06,4.545851105153147e-05,4.164323322700675e-17,2.2211374389963815e-27,4.2746483299706063e-16
baseline_w800_p10000,800.0,10000,1.848343022379272e-05,9.689397066637257e-07,3.303852553029773e-05,1.573015022982149e-17,7.608506098705789e-30,1.9636691940774664e-16
baseline_w800_p7919,800.0,7919,1.8773326689504494e-05,2.9729618836193853e-06,3.242486740217158e-05,1.6416706377498487e-17,6.812363284338494e-29,2.0283100720499915e-16
j10p0_p10000,400.0,10000,4.190252909766648e-05,1.1360308846930448e-05,6.768040975016e-05,9.276754767479094e-17,8.435079991562686e-27,7.907754082458654e-16
j10p0_p7919,400.0,7919,4.2171560075948794e-05,1.3613410210549553e-05,6.93447870515537e-05,1.0551549066834696e-16,6.421224225690403e-26,9.610678368270546e-16
j5p0_p10000,400.0,10000,4.190252909766648e-05,1.1360308846930448e-05,6.768040975016e-05,9.276754767479094e-17,8.435079991562686e-27,7.907754082458654e-16
j5p0_p7919,400.0,7919,4.2171560075948794e-05,1.3613410210549553e-05,6.93447870515537e-05,1.0551549066834696e-16,6.421224225690403e-26,9.610678368270546e-16
