category,sub_network,N,exp2_mean,exp2_std,exp3_mean,exp3_std,exp5_mean,exp5_std,exp7_mean,exp7_std
SC_Binary,band1,2,3.5,1.5,1.0,1.0,0.5,0.5,0.5,0.5
SC_Binary,band2,2,3.5,1.5,1.0,1.0,0.5,0.5,0.5,0.5
SC_Binary,gap1,4,2.5,1.5,1.0,1.224744871391589,0.25,0.4330127018922193,0.0,0.0
SC_Binary,gap2,3,1.3333333333333333,1.247219128924647,1.3333333333333333,1.247219128924647,0.0,0.0,0.3333333333333333,0.4714045207910317
SC_Binary,pi,5,2.0,1.8973665961010275,0.6,0.7999999999999999,0.4,0.48989794855663565,0.4,0.48989794855663565
SC_Binary,sigma,7,0.8571428571428571,0.6388765649999398,0.5714285714285714,0.7284313590846835,0.42857142857142855,0.49487165930539345,0.2857142857142857,0.4517539514526256
SC_Binary,single,107,1.7102803738317758,1.5708164779412719,0.6261682242990654,0.9523543329238876,0.5233644859813084,0.8791010105648484,0.3364485981308411,0.5950563506441722
SC_HighPressure,H1-optic-sigma,3,1.3333333333333333,1.8856180831641267,0.0,0.0,0.6666666666666666,0.4714045207910317,0.0,0.0
SC_HighPressure,La-acous-sigma,3,1.3333333333333333,1.8856180831641267,0.6666666666666666,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.0,0.0
SC_HighPressure,single,104,1.0384615384615385,1.0183232534518252,0.5480769230769231,0.8190027671164358,0.34615384615384615,0.6165853669954383,0.08653846153846154,0.2811575291771817
SC_IronBased,electron-band,2,1.5,1.5,0.0,0.0,1.0,1.0,0.0,0.0
SC_IronBased,gap2,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SC_IronBased,hole-band,3,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317
SC_IronBased,sigma,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SC_IronBased,single,4,0.5,0.8660254037844386,0.75,0.4330127018922193,0.0,0.0,0.25,0.4330127018922193
SC_Oxide,single,2,0.5,0.5,0.0,0.0,1.0,1.0,1.0,1.0
SC_TypeI,gap1,1,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
SC_TypeI,single,27,1.5555555555555556,1.1653431646335017,0.8148148148148148,0.9041893048691632,0.5185185185185185,0.738886568268889,0.4074074074074074,0.5616944773371518
SC_TypeII,single,46,2.0434782608695654,1.7687691832006949,0.8695652173913043,1.261618967699731,0.5434782608695652,0.9018464570735452,0.34782608695652173,0.560178205509788
