name,sub_network,jump_desc,category,Delta_error
2H-NbSe2,sigma,thermal@Tc→gap(Δ),SC_Binary,0.0
2H-NbSe2,sigma,gap(Δ)→Debye,SC_Binary,0.0
2H-NbSe2,sigma,Debye→electronic(E_F),SC_Binary,0.0
2H-NbSe2,pi,thermal@Tc→gap(Δ),SC_Binary,0.0
2H-NbSe2,pi,gap(Δ)→Debye,SC_Binary,0.0
2H-NbSe2,pi,Debye→electronic(E_F),SC_Binary,0.0
2H-NbSe2,sigma-vs-pi,gap(sigma) / gap(pi),SC_Binary,0.0
2H-NbSe2,sigma-vs-pi,Debye(sigma) / Debye(pi),SC_Binary,0.0
Ba(Fe0.8Co0.2)2As2,hole-band,thermal@Tc→gap(Δ),SC_IronBased,0.0
Ba(Fe0.8Co0.2)2As2,hole-band,gap(Δ)→Debye,SC_IronBased,0.0
Ba(Fe0.8Co0.2)2As2,hole-band,Debye→electronic(E_F),SC_IronBased,0.0
Ba(Fe0.8Co0.2)2As2,electron-band,thermal@Tc→gap(Δ),SC_IronBased,0.0
Ba(Fe0.8Co0.2)2As2,electron-band,gap(Δ)→Debye,SC_IronBased,0.0
Ba(Fe0.8Co0.2)2As2,electron-band,Debye→electronic(E_F),SC_IronBased,0.0
Ba(Fe0.8Co0.2)2As2,hole-band-vs-electron-band,gap(hole-band) / gap(electron-band),SC_IronBased,0.0
Ba(Fe0.8Co0.2)2As2,hole-band-vs-electron-band,Debye(hole-band) / Debye(electron-band),SC_IronBased,0.0
Ba(Fe0.9Co0.1)2As2,hole-band,thermal@Tc→gap(Δ),SC_IronBased,0.0
Ba(Fe0.9Co0.1)2As2,hole-band,gap(Δ)→Debye,SC_IronBased,0.0
Ba(Fe0.9Co0.1)2As2,hole-band,Debye→electronic(E_F),SC_IronBased,0.0
Ba(Fe0.9Co0.1)2As2,electron-band,thermal@Tc→gap(Δ),SC_IronBased,0.0
Ba(Fe0.9Co0.1)2As2,electron-band,gap(Δ)→Debye,SC_IronBased,0.0
Ba(Fe0.9Co0.1)2As2,electron-band,Debye→electronic(E_F),SC_IronBased,0.0
Ba(Fe0.9Co0.1)2As2,hole-band-vs-electron-band,gap(hole-band) / gap(electron-band),SC_IronBased,0.0
Ba(Fe0.9Co0.1)2As2,hole-band-vs-electron-band,Debye(hole-band) / Debye(electron-band),SC_IronBased,0.0
Ba0.6K0.4Fe2As2,hole-band,thermal@Tc→gap(Δ),SC_IronBased,0.0
Ba0.6K0.4Fe2As2,hole-band,gap(Δ)→Debye,SC_IronBased,0.0
Ba0.6K0.4Fe2As2,hole-band,Debye→electronic(E_F),SC_IronBased,0.0
Ba0.6K0.4Fe2As2,electron-band,thermal@Tc→gap(Δ),SC_IronBased,0.0
Ba0.6K0.4Fe2As2,electron-band,gap(Δ)→Debye,SC_IronBased,0.0
Ba0.6K0.4Fe2As2,electron-band,Debye→electronic(E_F),SC_IronBased,0.0
Ba0.6K0.4Fe2As2,hole-band-vs-electron-band,gap(hole-band) / gap(electron-band),SC_IronBased,0.0
Ba0.6K0.4Fe2As2,hole-band-vs-electron-band,Debye(hole-band) / Debye(electron-band),SC_IronBased,0.0
BaFe2(As0.7P0.3)2,hole-band,thermal@Tc→gap(Δ),SC_IronBased,0.0
BaFe2(As0.7P0.3)2,hole-band,gap(Δ)→Debye,SC_IronBased,0.0
BaFe2(As0.7P0.3)2,hole-band,Debye→electronic(E_F),SC_IronBased,0.0
BaFe2(As0.7P0.3)2,electron-band,thermal@Tc→gap(Δ),SC_IronBased,0.0
BaFe2(As0.7P0.3)2,electron-band,gap(Δ)→Debye,SC_IronBased,0.0
BaFe2(As0.7P0.3)2,electron-band,Debye→electronic(E_F),SC_IronBased,0.0
BaFe2(As0.7P0.3)2,hole-band-vs-electron-band,gap(hole-band) / gap(electron-band),SC_IronBased,0.0
BaFe2(As0.7P0.3)2,hole-band-vs-electron-band,Debye(hole-band) / Debye(electron-band),SC_IronBased,0.0
BeAu,gap1,thermal@Tc→gap(Δ),SC_TypeI,0.0
BeAu,gap1,gap(Δ)→Debye,SC_TypeI,0.0
BeAu,gap1,Debye→electronic(E_F),SC_TypeI,0.0
BeAu,gap2,thermal@Tc→gap(Δ),SC_TypeI,0.0
BeAu,gap2,gap(Δ)→Debye,SC_TypeI,0.0
BeAu,gap2,Debye→electronic(E_F),SC_TypeI,0.0
BeAu,gap1-vs-gap2,gap(gap1) / gap(gap2),SC_TypeI,0.0
BeAu,gap1-vs-gap2,Debye(gap1) / Debye(gap2),SC_TypeI,0.0
Ca10(Pt3As8)(Fe2As2)5,gap1,thermal@Tc→gap(Δ),SC_IronBased,0.0
Ca10(Pt3As8)(Fe2As2)5,gap1,gap(Δ)→Debye,SC_IronBased,0.0
Ca10(Pt3As8)(Fe2As2)5,gap1,Debye→electronic(E_F),SC_IronBased,0.0
Ca10(Pt3As8)(Fe2As2)5,gap2,thermal@Tc→gap(Δ),SC_IronBased,0.0
Ca10(Pt3As8)(Fe2As2)5,gap2,gap(Δ)→Debye,SC_IronBased,0.0
Ca10(Pt3As8)(Fe2As2)5,gap2,Debye→electronic(E_F),SC_IronBased,0.0
Ca10(Pt3As8)(Fe2As2)5,hole-band,thermal@Tc→gap(Δ),SC_IronBased,0.0
Ca10(Pt3As8)(Fe2As2)5,hole-band,gap(Δ)→Debye,SC_IronBased,0.0
Ca10(Pt3As8)(Fe2As2)5,hole-band,Debye→electronic(E_F),SC_IronBased,0.0
Ca10(Pt3As8)(Fe2As2)5,electron-band,thermal@Tc→gap(Δ),SC_IronBased,0.0
Ca10(Pt3As8)(Fe2As2)5,electron-band,gap(Δ)→Debye,SC_IronBased,0.0
Ca10(Pt3As8)(Fe2As2)5,electron-band,Debye→electronic(E_F),SC_IronBased,0.0
Ca10(Pt3As8)(Fe2As2)5,hole-band-vs-electron-band,gap(hole-band) / gap(electron-band),SC_IronBased,0.0
Ca10(Pt3As8)(Fe2As2)5,hole-band-vs-electron-band,Debye(hole-band) / Debye(electron-band),SC_IronBased,0.0
CaFe0.88Co0.12AsF,hole-band,thermal@Tc→gap(Δ),SC_IronBased,0.0
CaFe0.88Co0.12AsF,hole-band,gap(Δ)→Debye,SC_IronBased,0.0
CaFe0.88Co0.12AsF,hole-band,Debye→electronic(E_F),SC_IronBased,0.0
CaFe0.88Co0.12AsF,electron-band,thermal@Tc→gap(Δ),SC_IronBased,0.0
CaFe0.88Co0.12AsF,electron-band,gap(Δ)→Debye,SC_IronBased,0.0
CaFe0.88Co0.12AsF,electron-band,Debye→electronic(E_F),SC_IronBased,0.0
CaFe0.88Co0.12AsF,hole-band-vs-electron-band,gap(hole-band) / gap(electron-band),SC_IronBased,0.0
CaFe0.88Co0.12AsF,hole-band-vs-electron-band,Debye(hole-band) / Debye(electron-band),SC_IronBased,0.0
FeSe,sigma,thermal@Tc→gap(Δ),SC_IronBased,0.0
FeSe,sigma,gap(Δ)→Debye,SC_IronBased,0.0
FeSe,sigma,Debye→electronic(E_F),SC_IronBased,0.0
FeSe,pi,thermal@Tc→gap(Δ),SC_IronBased,0.0
FeSe,pi,gap(Δ)→Debye,SC_IronBased,0.0
FeSe,pi,Debye→electronic(E_F),SC_IronBased,0.0
FeSe,hole-band,thermal@Tc→gap(Δ),SC_IronBased,0.0
FeSe,hole-band,gap(Δ)→Debye,SC_IronBased,0.0
FeSe,hole-band,Debye→electronic(E_F),SC_IronBased,0.0
FeSe,electron-band,thermal@Tc→gap(Δ),SC_IronBased,0.0
FeSe,electron-band,gap(Δ)→Debye,SC_IronBased,0.0
FeSe,electron-band,Debye→electronic(E_F),SC_IronBased,0.0
FeSe,hole-band-vs-electron-band,gap(hole-band) / gap(electron-band),SC_IronBased,0.0
FeSe,hole-band-vs-electron-band,Debye(hole-band) / Debye(electron-band),SC_IronBased,0.0
Helium-3 (He-3) B-phase,0-bar,thermal@Tc→gap(Δ),Superfluid,0.0
Helium-3 (He-3) B-phase,0-bar,gap(Δ)→Debye,Superfluid,0.0
Helium-3 (He-3) B-phase,0-bar,Debye→electronic(E_F),Superfluid,0.0
Helium-3 (He-3) B-phase,10-bar,thermal@Tc→gap(Δ),Superfluid,0.0
Helium-3 (He-3) B-phase,10-bar,gap(Δ)→Debye,Superfluid,0.0
Helium-3 (He-3) B-phase,10-bar,Debye→electronic(E_F),Superfluid,0.0
Helium-3 (He-3) B-phase,0-bar-vs-10-bar,gap(0-bar) / gap(10-bar),Superfluid,0.0
Helium-3 (He-3) B-phase,0-bar-vs-10-bar,Debye(0-bar) / Debye(10-bar),Superfluid,0.0
Helium-4 (He-4),1-bar,thermal@Tc→gap(Δ),Superfluid,0.0
Helium-4 (He-4),1-bar,gap(Δ)→Debye,Superfluid,0.0
Helium-4 (He-4),1-bar,Debye→electronic(E_F),Superfluid,0.0
Helium-4 (He-4),10-bar,thermal@Tc→gap(Δ),Superfluid,0.0
Helium-4 (He-4),10-bar,gap(Δ)→Debye,Superfluid,0.0
Helium-4 (He-4),10-bar,Debye→electronic(E_F),Superfluid,0.0
Helium-4 (He-4),1-bar-vs-10-bar,gap(1-bar) / gap(10-bar),Superfluid,0.0
Helium-4 (He-4),1-bar-vs-10-bar,Debye(1-bar) / Debye(10-bar),Superfluid,0.0
LaB2,sigma,thermal@Tc→gap(Δ),SC_Binary,0.0
LaB2,sigma,gap(Δ)→Debye,SC_Binary,0.0
LaB2,sigma,Debye→electronic(E_F),SC_Binary,0.0
LaB2,pi,thermal@Tc→gap(Δ),SC_Binary,0.0
LaB2,pi,gap(Δ)→Debye,SC_Binary,0.0
