category,sub_network,mean,std,count
SC_Binary,band1,-0.002844,0.01271,6
SC_Binary,band1-vs-band2,0.0004109,0.0008218,4
SC_Binary,band2,-0.003525,0.01273,6
SC_Binary,gap1,0.03571,0.08202,6
SC_Binary,gap1-vs-gap2,0,0,4
SC_Binary,gap2,-0.1244,0.3052,6
SC_Binary,pi,-0.003314,0.009865,9
SC_Binary,sigma,-0.008408,0.03539,9
SC_Binary,sigma-vs-pi,0.003057,0.02899,6
SC_Binary,single,-0.08611,0.2237,174
SC_HeavyFermion,single,-0.01595,0.03504,18
SC_HighPressure,H1-optic-sigma,-0.09431,0.08624,3
SC_HighPressure,H1-optic-sigma-vs-H2-optic-pi,0.005389,0.03222,2
SC_HighPressure,H2-optic-pi,0.001413,0.01215,3
SC_HighPressure,La-acous-sigma,-0.29,0.6119,3
SC_HighPressure,single,-0.003469,0.03825,240
SC_IronBased,electron-band,-0.004589,0.0189,27
SC_IronBased,gap1,-0.00394,0.01677,3
SC_IronBased,gap2,0.009668,0.0161,3
SC_IronBased,hole-band,-0.004746,0.01465,27
SC_IronBased,hole-band-vs-electron-band,0.0003548,0.005507,18
SC_IronBased,pi,-0.004213,0.03751,3
SC_IronBased,sigma,-0.02987,0.01795,3
SC_IronBased,single,-0.002797,0.0205,36
SC_Molecular,single,-0.005919,0.01427,30
SC_Oxide,single,-0.009739,0.03054,42
SC_TypeI,gap1,-0.006955,0.00524,3
SC_TypeI,gap1-vs-gap2,-0.01489,0.02105,2
SC_TypeI,gap2,0.002437,0.01648,3
SC_TypeI,single,-0.04292,0.07223,27
SC_TypeII,single,-0.1788,0.3835,54
Superfluid,0-bar,-0.1659,0.08684,3
Superfluid,0-bar-vs-10-bar,0.0101,0.01429,2
Superfluid,1-bar,-0.004954,0.004941,3
Superfluid,1-bar-vs-10-bar,0.003763,0.0003945,2
Superfluid,10-bar,-0.07395,0.09326,6
