name,sum_err_before,sum_err_after_full
(BEDT-TTF)2Cu(NCS)2,0.0265049,0.0280986
(BEDT-TTF)2Cu[N(CN)2]Br,0.0285406,0.0292931
(La0.5Y0.5)H8,0.0272451,0.0271857
(La0.925Sr0.075)2CuO4,0.0205263,0.0214987
(LaY)H10,0.0237668,0.0242538
(LaY)H4,0.0333082,0.0319208
(LaY)H6,0.0256708,0.0262255
(TMTSF)2AsF6,0.0195367,0.0401663
(TMTSF)2ClO4,0.0190477,0.0191717
(TMTSF)2PF6 (under P),0.0236002,0.0538253
1T'-MoTe2,0.0145209,0.380177
1T'-WTe2,0.0111473,0.866979
2H-NbS2,0.149461,0.154434
2H-Pd0.08TaSe2,0.022485,0.0183041
2H-TaS2,0.1004,0.152066
2H-TaS2 (thin 3.5nm),0.132797,0.151616
2H-TaSe2,0.131605,0.478087
2H-VSe2,0.0125383,0.225301
2M-WS2,0.0195874,0.0239933
2M-WS2 (thin <20nm),0.0195874,0.0239933
3R-Ta0.9Mo0.1Se2,0.0235852,0.020819
3R-Ta0.9W0.1Se2,0.00729684,0.00743307
4H-NbSe2,0.188984,0.194399
4Hb-TaS2,0.0106158,0.00765828
AcH10,0.077296,0.0773235
Al,0.179915,0.190666
AlH3,0.167569,0.16822
Am,0.0228864,0.023135
AsH3,0.012026,0.0124272
B2H6,0.0255203,0.0255312
BH,0.0844161,0.0872349
Ba(Fe0.8Co0.2)2As2,0.0269025,0.0269203
Ba(Fe0.9Co0.1)2As2,0.0258824,0.0265186
Ba0.6K0.4BiO3,0.013534,0.0135423
Ba0.6K0.4Fe2As2,0.0256099,0.0256211
BaC6,0.134185,1.20102
BaH12,0.0227421,0.0227528
BaH6,0.144734,0.145473
BaPb0.75Bi0.25O3,0.0158083,0.0170968
Bi2Sr2Ca2Cu3O10 (Bi-2223),0.0365031,0.0365112
Bi2Sr2CaCu2O8 (Bi-2212),0.0337739,0.0345059
CH4-H2 (clathrate),0.0199471,0.020621
CaAlSi,0.0218477,0.0243367
CaC6,0.148023,0.15258
CaH10,0.186687,0.187296
CaH6,0.169051,0.169095
Cd,0.188512,0.216819
CeCoIn5,0.0986334,0.103349
CeCu2Si2,0.0676474,0.0769506
CeH10,0.0441198,0.0449232
CeH9,0.0283818,0.0283971
CoH5,0.0162764,0.0162904
Cr3Si,0.124526,0.125286
CrH6,0.0180256,0.0187137
Cs3C60,0.0128765,0.0123854
CsC8,0.234572,8.45407
CuMo6S8,0.0244149,0.0224833
EuMo6S8,0.0251238,0.0268546
FeH5,0.0246833,0.0227531
FeSe (monolayer on STO),0.0608014,0.0615285
FeSe0.5Te0.5,0.0428857,0.0411132
FeSe0.7Te0.3,0.0663059,0.0669985
FeSe1-xSx (x=0.17),0.105218,0.108044
GaH3,0.161898,0.163426
GdH9,0.0196273,0.0196385
GeH4,0.120874,0.123836
H3S,0.0237982,0.0241546
H6SBr,0.0364436,0.0364628
H6SCl,0.0385006,0.0373782
Hf,0.142871,0.510024
HfH10,0.190746,0.191055
Hg,0.11075,0.110906
HgBa2Ca2Cu3O8 (Hg-1223),0.0153458,0.0153486
In,0.123023,0.127492
InH3,0.182885,0.18367
InH5,0.0291515,0.0307076
Ir,0.129385,0.976902
IrO2,0.0133489,0.178984
K3C60,0.0387285,0.037662
KC8,0.0165487,0.105967
La,0.174804,0.176766
La2-xBaxCuO4 (x~0.125),0.0147198,0.0160174
La2-xSrxCuO4 (LSCO x~0.15),0.0203603,0.0208845
LaBeH8,0.0390471,0.0396612
LaCeH18,0.0301794,0.0304966
LaH10,0.32612,0.326218
LaH8,0.0125295,0.0133952
LaO0.9F0.1FeAs,0.0304992,0.0293507
LaSc2H24,0.0413704,0.0417732
LaSr2H18,0.0510594,0.0510792
LaSr3H24,0.0478507,0.0469109
LaSrH12,0.024636,0.0246475
LaSrH21,0.0325593,0.0325715
LaThH12,0.0556508,0.0553649
LaYH20,0.0237668,0.0242538
