category,sub_network,mean,std,count
SC_Binary,pi,-0.006463,0.01012,6
SC_Binary,sigma,-0.008633,0.04447,6
SC_Binary,sigma-vs-pi,-0.01185,0.01852,4
SC_Binary,single,-0.02422,0.05067,30
SC_HeavyFermion,single,-0.0146,0.03443,18
SC_HighPressure,H1-optic-sigma,-0.09429,0.08623,3
SC_HighPressure,H1-optic-sigma-vs-H2-optic-pi,0.005389,0.03222,2
SC_HighPressure,H2-optic-pi,0.001442,0.01216,3
SC_HighPressure,La-acous-sigma,-0.29,0.6119,3
SC_HighPressure,single,-0.002512,0.03945,213
SC_IronBased,pi,-0.004075,0.03757,3
SC_IronBased,sigma,-0.02973,0.01797,3
SC_IronBased,sigma-vs-pi,0,0,2
SC_IronBased,single,-0.002746,0.0205,36
SC_Molecular,single,-0.001955,0.01611,12
SC_Oxide,single,-0.01839,0.04193,18
SC_TypeI,single,-0.04218,0.0717,27
SC_TypeII,single,-0.07405,0.09585,27
Superfluid,0-bar,-0.1553,0.08075,3
Superfluid,0-bar-vs-10-bar,0.0101,0.01429,2
Superfluid,1-bar,-0.004935,0.004935,3
Superfluid,1-bar-vs-10-bar,0.003763,0.0003945,2
Superfluid,10-bar,-0.06931,0.08721,6
