family_type,group,lock_type,metric,n,mean,std_dev,ci_low,ci_high
category+sub_network,SC_Binary_band1,integer,exp_a_2,2,3.503,1.054,2,5
category+sub_network,SC_Binary_band1,integer,exp_b_3,2,0.998,0.7028,0,2
category+sub_network,SC_Binary_band1,integer,exp_c_5,2,0.499,0.3514,0,1
category+sub_network,SC_Binary_band1,integer,exp_d_7,2,0.501,0.3514,0,1
category+sub_network,SC_Binary_band1,rational,q_avg,4,4.731,0.9739,3,6.75
category+sub_network,SC_Binary_band1-vs-band2,rational,q_avg,4,2.524,1.318,1,5.5
category+sub_network,SC_Binary_band2,integer,exp_a_2,2,3.548,1.097,2,5
category+sub_network,SC_Binary_band2,integer,exp_b_3,2,0.968,0.7314,0,2
category+sub_network,SC_Binary_band2,integer,exp_c_5,2,0.484,0.3657,0,1
category+sub_network,SC_Binary_band2,integer,exp_d_7,2,0.516,0.3657,0,1
category+sub_network,SC_Binary_band2,rational,q_avg,4,6.019,1.021,4,8
category+sub_network,SC_Binary_gap1,integer,exp_a_2,4,2.507,0.762,0.75,3.75
category+sub_network,SC_Binary_gap1,integer,exp_b_3,4,1.018,0.6331,0,2.25
category+sub_network,SC_Binary_gap1,integer,exp_c_5,4,0.251,0.2055,0,0.75
category+sub_network,SC_Binary_gap1,integer,exp_d_7,4,0,0,0,0
category+sub_network,SC_Binary_gap1,rational,q_avg,2,4.972,1.353,3,7
category+sub_network,SC_Binary_gap1-vs-gap2,rational,q_avg,4,3.307,1.196,1,5.5
category+sub_network,SC_Binary_gap2,integer,exp_a_2,3,1.371,0.7439,0,3
category+sub_network,SC_Binary_gap2,integer,exp_b_3,3,1.371,0.7439,0,3
category+sub_network,SC_Binary_gap2,integer,exp_c_5,3,0,0,0,0
category+sub_network,SC_Binary_gap2,integer,exp_d_7,3,0.3213,0.2697,0,1
category+sub_network,SC_Binary_gap2,rational,q_avg,3,5.001,0.9367,3,7
category+sub_network,SC_Binary_pi,integer,exp_a_2,5,1.962,0.8248,0.4,3.6
category+sub_network,SC_Binary_pi,integer,exp_b_3,5,0.6164,0.3475,0,1.4
category+sub_network,SC_Binary_pi,integer,exp_c_5,5,0.386,0.2125,0,0.8
category+sub_network,SC_Binary_pi,integer,exp_d_7,5,0.3964,0.2181,0,0.8
category+sub_network,SC_Binary_pi,rational,q_avg,4,4.551,0.9709,2.75,6.5
category+sub_network,SC_Binary_sigma,integer,exp_a_2,7,0.8563,0.2516,0.4286,1.286
category+sub_network,SC_Binary_sigma,integer,exp_b_3,7,0.5763,0.2759,0.1429,1.143
category+sub_network,SC_Binary_sigma,integer,exp_c_5,7,0.4306,0.1879,0.1429,0.8571
category+sub_network,SC_Binary_sigma,integer,exp_d_7,7,0.2863,0.1629,0,0.5714
category+sub_network,SC_Binary_sigma,rational,q_avg,2,7.506,0.3605,7,8
category+sub_network,SC_Binary_sigma-vs-pi,rational,q_avg,6,5.492,1.265,3.167,7.833
category+sub_network,SC_Binary_single,integer,exp_a_2,107,1.701,0.1517,1.439,2.019
category+sub_network,SC_Binary_single,integer,exp_b_3,107,0.6248,0.08641,0.4624,0.8086
category+sub_network,SC_Binary_single,integer,exp_c_5,107,0.5254,0.08601,0.3645,0.6916
category+sub_network,SC_Binary_single,integer,exp_d_7,107,0.3365,0.0576,0.2336,0.4486
category+sub_network,SC_Binary_single,rational,q_avg,67,5.368,0.2574,4.881,5.851
category+sub_network,SC_HeavyFermion_single,rational,q_avg,18,5.389,0.4702,4.5,6.278
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_a_2,3,1.347,1.072,0,4
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_b_3,3,0,0,0,0
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_c_5,3,0.658,0.2735,0,1
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_d_7,3,0,0,0,0
category+sub_network,SC_HighPressure_H1-optic-sigma-vs-H2-optic-pi,rational,q_avg,2,2.519,0.3408,2,3
