family_type,group,lock_type,metric,n,mean,std_dev,ci_low,ci_high
category+sub_network,SC_Binary_band1,integer,exp_a_2,2,3.407,1.024,2,5
category+sub_network,SC_Binary_band1,integer,exp_b_3,2,1.062,0.6828,0,2
category+sub_network,SC_Binary_band1,integer,exp_c_5,2,0.531,0.3414,0,1
category+sub_network,SC_Binary_band1,integer,exp_d_7,2,0.469,0.3414,0,1
category+sub_network,SC_Binary_band1,rational,q_avg,4,4.745,1.006,3,6.75
category+sub_network,SC_Binary_band1-vs-band2,rational,q_avg,4,2.449,1.295,1,5.5
category+sub_network,SC_Binary_band2,integer,exp_a_2,2,3.494,1.094,2,5
category+sub_network,SC_Binary_band2,integer,exp_b_3,2,1.004,0.7294,0,2
category+sub_network,SC_Binary_band2,integer,exp_c_5,2,0.502,0.3647,0,1
category+sub_network,SC_Binary_band2,integer,exp_d_7,2,0.498,0.3647,0,1
category+sub_network,SC_Binary_band2,rational,q_avg,4,5.993,1.053,4,8
category+sub_network,SC_Binary_gap1,integer,exp_a_2,4,2.542,0.7382,0.75,3.5
category+sub_network,SC_Binary_gap1,integer,exp_b_3,4,1.027,0.6333,0,2.5
category+sub_network,SC_Binary_gap1,integer,exp_c_5,4,0.2485,0.2142,0,0.75
category+sub_network,SC_Binary_gap1,integer,exp_d_7,4,0,0,0,0
category+sub_network,SC_Binary_gap1,rational,q_avg,2,5.004,1.389,3,7
category+sub_network,SC_Binary_gap1-vs-gap2,rational,q_avg,4,3.272,1.251,1,5.5
category+sub_network,SC_Binary_gap2,integer,exp_a_2,3,1.369,0.7189,0,3
category+sub_network,SC_Binary_gap2,integer,exp_b_3,3,1.369,0.7189,0,3
category+sub_network,SC_Binary_gap2,integer,exp_c_5,3,0,0,0,0
category+sub_network,SC_Binary_gap2,integer,exp_d_7,3,0.3307,0.2683,0,1
category+sub_network,SC_Binary_gap2,rational,q_avg,3,5.047,0.9134,3,7
category+sub_network,SC_Binary_pi,integer,exp_a_2,5,1.944,0.871,0.4,3.6
category+sub_network,SC_Binary_pi,integer,exp_b_3,5,0.6228,0.3662,0,1.4
category+sub_network,SC_Binary_pi,integer,exp_c_5,5,0.4164,0.2108,0,0.8
category+sub_network,SC_Binary_pi,integer,exp_d_7,5,0.4192,0.2112,0,0.8
category+sub_network,SC_Binary_pi,rational,q_avg,4,4.48,0.8865,2.75,6.25
category+sub_network,SC_Binary_sigma,integer,exp_a_2,7,0.8583,0.2443,0.4286,1.286
category+sub_network,SC_Binary_sigma,integer,exp_b_3,7,0.5803,0.2858,0.1429,1.143
category+sub_network,SC_Binary_sigma,integer,exp_c_5,7,0.4311,0.1898,0.1429,0.8571
category+sub_network,SC_Binary_sigma,integer,exp_d_7,7,0.2971,0.1725,0,0.7143
category+sub_network,SC_Binary_sigma,rational,q_avg,2,7.501,0.3599,7,8
category+sub_network,SC_Binary_sigma-vs-pi,rational,q_avg,6,5.537,1.366,3.167,8
category+sub_network,SC_Binary_single,integer,exp_a_2,107,1.697,0.1474,1.425,1.972
category+sub_network,SC_Binary_single,integer,exp_b_3,107,0.6296,0.09716,0.4486,0.8037
category+sub_network,SC_Binary_single,integer,exp_c_5,107,0.524,0.08509,0.3689,0.7009
category+sub_network,SC_Binary_single,integer,exp_d_7,107,0.3384,0.05929,0.2243,0.4486
category+sub_network,SC_Binary_single,rational,q_avg,67,5.399,0.2536,4.91,5.896
category+sub_network,SC_HeavyFermion_single,rational,q_avg,18,5.411,0.4851,4.5,6.333
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_a_2,3,1.341,1.055,0,4
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_b_3,3,0,0,0,0
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_c_5,3,0.6727,0.276,0,1
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_d_7,3,0,0,0,0
category+sub_network,SC_HighPressure_H1-optic-sigma-vs-H2-optic-pi,rational,q_avg,2,2.496,0.3633,2,3
category+sub_network,SC_HighPressure_H2-optic-pi,rational,q_avg,3,4.723,1.129,3,6.683
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_a_2,3,1.264,1.002,0,2.667
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_b_3,3,0.6593,0.2653,0,1
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_c_5,3,0.316,0.2506,0,0.6667
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_d_7,3,0,0,0,0
category+sub_network,SC_HighPressure_single,integer,exp_a_2,104,1.043,0.09779,0.8462,1.226
category+sub_network,SC_HighPressure_single,integer,exp_b_3,104,0.5465,0.08386,0.4038,0.7212
category+sub_network,SC_HighPressure_single,integer,exp_c_5,104,0.3472,0.06018,0.2308,0.4712
category+sub_network,SC_HighPressure_single,integer,exp_d_7,104,0.08904,0.0288,0.03846,0.1493
category+sub_network,SC_HighPressure_single,rational,q_avg,136,5.968,0.1732,5.636,6.301
category+sub_network,SC_IronBased_electron-band,integer,exp_a_2,2,1.494,1.061,0,3
category+sub_network,SC_IronBased_electron-band,integer,exp_b_3,2,0,0,0,0
category+sub_network,SC_IronBased_electron-band,integer,exp_c_5,2,1.004,0.7071,0,2
category+sub_network,SC_IronBased_electron-band,integer,exp_d_7,2,0,0,0,0
category+sub_network,SC_IronBased_electron-band,rational,q_avg,25,4.098,0.3421,3.44,4.8
category+sub_network,SC_IronBased_gap1,rational,q_avg,3,4.644,0.9489,3,7
category+sub_network,SC_IronBased_gap2,integer,exp_a_2,1,1,0,1,1
category+sub_network,SC_IronBased_gap2,integer,exp_b_3,1,0,0,0,0
category+sub_network,SC_IronBased_gap2,integer,exp_c_5,1,0,0,0,0
category+sub_network,SC_IronBased_gap2,integer,exp_d_7,1,0,0,0,0
category+sub_network,SC_IronBased_gap2,rational,q_avg,2,5.028,1.405,3,7
category+sub_network,SC_IronBased_hole-band,integer,exp_a_2,3,1,0,1,1
category+sub_network,SC_IronBased_hole-band,integer,exp_b_3,3,0,0,0,0
category+sub_network,SC_IronBased_hole-band,integer,exp_c_5,3,0,0,0,0
category+sub_network,SC_IronBased_hole-band,integer,exp_d_7,3,0.3073,0.2582,0,1
category+sub_network,SC_IronBased_hole-band,rational,q_avg,24,4.54,0.3498,3.895,5.208
category+sub_network,SC_IronBased_hole-band-vs-electron-band,rational,q_avg,18,2.397,0.466,1.611,3.474
