material,metric,n,mean,std,ci_low,ci_high
LaH10,kappa,500,0.0028689455779999998,0.0045108518237462645,0.0,0.015092969999999987
LaH10,C_AB,500,2.0049272,0.5669989604179994,0.856786,3.104802
MgB2,kappa,500,0.008953086005399999,0.05549833426504021,0.0,0.04505147999999976
MgB2,C_AB,500,2.32001958762,1.7115778014003469,0.090924035,6.3338047500000005
2H-NbSe2,kappa,500,0.0025834688205999996,0.012226097063848453,0.0,0.01639344749999999
2H-NbSe2,C_AB,500,2.452017843,1.8163513748685107,0.12768825,7.0246929999999965
FeSe,kappa,500,0.00052313462604,0.00324517208849941,0.0,0.0037077017499999986
FeSe,C_AB,500,2.65059109264,1.9686035717341046,0.1299527,7.179893999999999
Helium-3 (He-3) B-phase,kappa,500,0.0,0.0,0.0,0.0
Helium-3 (He-3) B-phase,C_AB,500,228.64539268,152.35694022028161,12.944970000000001,569.0707499999999
Helium-4 (He-4),kappa,500,0.1050834591876,1.224931437823428,0.0,0.1535720499999999
Helium-4 (He-4),C_AB,500,0.360109949958,0.26458841240076136,0.011928835,0.9672433499999998
