material,metric,n,mean,std,ci_low,ci_high,prime_max_val,jitter_percent,winsor
LaH10,kappa,500,0.0023400007014,0.0038986279815615213,0.0,0.0134905025,10000,5.0,400.0
LaH10,C_AB,500,1.9919432400000001,0.28182423735566536,1.4640992499999999,2.559563,10000,5.0,400.0
MgB2,kappa,500,0.005767841388000001,0.020027833636523343,0.0,0.051872689999999735,10000,5.0,400.0
MgB2,C_AB,500,1.69363056514,1.0301146619329031,0.08611790750000001,3.687285999999999,10000,5.0,400.0
2H-NbSe2,kappa,500,0.011302358109,0.11794642365503545,0.0,0.04158099499999992,10000,5.0,400.0
2H-NbSe2,C_AB,500,1.30373021972,0.945115330174459,0.06839939250000002,3.3609159999999996,10000,5.0,400.0
FeSe,kappa,500,0.0016400577506799998,0.019721396939769355,0.0,0.00614466975,10000,5.0,400.0
FeSe,C_AB,500,1.3687713536000001,1.0455819444500452,0.06408858250000002,3.8012677499999983,10000,5.0,400.0
Helium-3 (He-3) B-phase,kappa,500,0.0,0.0,0.0,0.0,10000,5.0,400.0
Helium-3 (He-3) B-phase,C_AB,500,199.0680195,95.94868726042414,22.072135,391.72339999999997,10000,5.0,400.0
Helium-4 (He-4),kappa,500,0.054704284984,0.2705527015993397,0.0,0.43561079999999996,10000,5.0,400.0
Helium-4 (He-4),C_AB,500,0.17421752053,0.13158829228381802,0.007537183000000001,0.50052185,10000,5.0,400.0
