name,sub_network,category,lock_family,jump_type,jump_desc,d,X,C_AB,R_obs,chosen_lock,prime_value,err_before,R_corr_eta,err_after_eta,R_corr_kappa,err_after_kappa
2H-NbSe2,sigma,SC_Binary,integer,intra,thermal@Tc→gap(Δ),3,28.4072,0.798333,1.85197,integer,2,0.0799284,1.84901,0.081662,1.84901,0.081662
2H-NbSe2,sigma,SC_Binary,integer,intra,gap(Δ)→Debye,2,28.4072,0.798333,15.3389,integer,15,0.0220933,15.3225,0.0210474,15.3225,0.0210474
2H-NbSe2,sigma,SC_Binary,integer,intra,Debye→electronic(E_F),1,28.4072,0.798333,300.604,integer,300,0.0020087,300.443,0.00147525,300.443,0.00147525
2H-NbSe2,pi,SC_Binary,integer,intra,thermal@Tc→gap(Δ),3,27.6089,0.798333,1.03317,integer,1,0.0321037,1.03156,0.0305937,1.03156,0.0305937
2H-NbSe2,pi,SC_Binary,integer,intra,gap(Δ)→Debye,2,27.6089,0.798333,26.7225,integer,27,0.0103826,26.6948,0.0114329,26.6948,0.0114329
2H-NbSe2,pi,SC_Binary,integer,intra,Debye→electronic(E_F),1,27.6089,0.798333,298.877,integer,300,0.00375668,298.722,0.00427812,298.722,0.00427812
2H-NbSe2,sigma-vs-pi,SC_Binary,rational,inter,gap(sigma) / gap(pi),,,,1.80612,rational,1.8,0.00338603,1.80612,0.00338603,1.80612,0.00338603
2H-NbSe2,sigma-vs-pi,SC_Binary,rational,inter,Debye(sigma) / Debye(pi),,,,1.03672,rational,1,0.0354194,1.03672,0.0354194,1.03672,0.0354194
Ba(Fe0.8Co0.2)2As2,hole-band,SC_IronBased,mixed,intra,thermal@Tc→gap(Δ),3,10.2165,0.248382,3.82015,rational,3.85714,0.00968428,3.81795,0.0102666,3.81795,0.0102666
Ba(Fe0.8Co0.2)2As2,hole-band,SC_IronBased,mixed,intra,gap(Δ)→Debye,2,10.2165,0.248382,2.67436,rational,2.66667,0.00287834,2.67334,0.00249503,2.67334,0.00249503
Ba(Fe0.8Co0.2)2As2,hole-band,SC_IronBased,mixed,intra,Debye→electronic(E_F),1,10.2165,0.248382,9.07752,rational,9.14286,0.00719781,9.07577,0.00739136,9.07577,0.00739136
Ba(Fe0.8Co0.2)2As2,electron-band,SC_IronBased,mixed,intra,thermal@Tc→gap(Δ),3,9.96808,0.248382,2.72119,rational,2.66667,0.0200377,2.71966,0.0194863,2.71966,0.0194863
Ba(Fe0.8Co0.2)2As2,electron-band,SC_IronBased,mixed,intra,gap(Δ)→Debye,2,9.96808,0.248382,3.66313,rational,3.6,0.0172339,3.66176,0.0168653,3.66176,0.0168653
Ba(Fe0.8Co0.2)2As2,electron-band,SC_IronBased,mixed,intra,Debye→electronic(E_F),1,9.96808,0.248382,9.40907,rational,9.375,0.00362089,9.40731,0.00343407,9.40731,0.00343407
Ba(Fe0.8Co0.2)2As2,hole-band-vs-electron-band,SC_IronBased,rational,inter,gap(hole-band) / gap(electron-band),,,,1.41073,rational,1.4,0.00760447,1.41073,0.00760447,1.41073,0.00760447
Ba(Fe0.8Co0.2)2As2,hole-band-vs-electron-band,SC_IronBased,rational,inter,Debye(hole-band) / Debye(electron-band),,,,1.02994,rational,1,0.0290686,1.02994,0.0290686,1.02994,0.0290686
Ba(Fe0.9Co0.1)2As2,hole-band,SC_IronBased,mixed,intra,thermal@Tc→gap(Δ),3,11.2435,1.04034,3.82537,rational,3.85714,0.0083047,3.82295,0.00894472,3.82295,0.00894472
Ba(Fe0.9Co0.1)2As2,hole-band,SC_IronBased,mixed,intra,gap(Δ)→Debye,2,11.2435,1.04034,2.93918,integer,3,0.0206911,2.93794,0.021123,2.93794,0.021123
Ba(Fe0.9Co0.1)2As2,hole-band,SC_IronBased,mixed,intra,Debye→electronic(E_F),1,11.2435,1.04034,9.51244,rational,9.6,0.0092045,9.51043,0.00941794,9.51043,0.00941794
Ba(Fe0.9Co0.1)2As2,electron-band,SC_IronBased,mixed,intra,thermal@Tc→gap(Δ),3,12.2838,1.04034,2.75286,rational,2.8,0.0171253,2.75095,0.0178307,2.75095,0.0178307
Ba(Fe0.9Co0.1)2As2,electron-band,SC_IronBased,mixed,intra,gap(Δ)→Debye,2,12.2838,1.04034,4.46221,rational,4.5,0.00846898,4.46015,0.00893514,4.46015,0.00893514
Ba(Fe0.9Co0.1)2As2,electron-band,SC_IronBased,mixed,intra,Debye→electronic(E_F),1,12.2838,1.04034,9.11414,rational,9.14286,0.00315084,9.11203,0.00338264,9.11203,0.00338264
Ba(Fe0.9Co0.1)2As2,hole-band-vs-electron-band,SC_IronBased,rational,inter,gap(hole-band) / gap(electron-band),,,,1.46752,rational,1.5,0.0221302,1.46752,0.0221302,1.46752,0.0221302
Ba(Fe0.9Co0.1)2As2,hole-band-vs-electron-band,SC_IronBased,rational,inter,Debye(hole-band) / Debye(electron-band),,,,0.966634,rational,1,0.0345179,0.966634,0.0345179,0.966634,0.0345179
Ba0.6K0.4Fe2As2,hole-band,SC_IronBased,mixed,intra,thermal@Tc→gap(Δ),3,6.95037,0.0662224,3.43629,rational,3.42857,0.00224591,3.43494,0.0018545,3.43494,0.0018545
Ba0.6K0.4Fe2As2,hole-band,SC_IronBased,mixed,intra,gap(Δ)→Debye,2,6.95037,0.0662224,2.02264,integer,2,0.011193,2.02211,0.0109344,2.02211,0.0109344
Ba0.6K0.4Fe2As2,hole-band,SC_IronBased,mixed,intra,Debye→electronic(E_F),1,6.95037,0.0662224,8.87744,integer,9,0.0138057,8.87628,0.0139382,8.87628,0.0139382
Ba0.6K0.4Fe2As2,electron-band,SC_IronBased,mixed,intra,thermal@Tc→gap(Δ),3,6.88415,0.0662224,3.00974,integer,3,0.00323647,3.00857,0.00284919,3.00857,0.00284919
Ba0.6K0.4Fe2As2,electron-band,SC_IronBased,mixed,intra,gap(Δ)→Debye,2,6.88415,0.0662224,2.28729,rational,2.28571,0.000688959,2.2867,0.000430139,2.2867,0.000430139
Ba0.6K0.4Fe2As2,electron-band,SC_IronBased,mixed,intra,Debye→electronic(E_F),1,6.88415,0.0662224,9.57599,rational,9.6,0.00250735,9.57475,0.00263715,9.57475,0.00263715
Ba0.6K0.4Fe2As2,hole-band-vs-electron-band,SC_IronBased,rational,inter,gap(hole-band) / gap(electron-band),,,,1.1552,rational,1.16667,0.00992883,1.1552,0.00992883,1.1552,0.00992883
Ba0.6K0.4Fe2As2,hole-band-vs-electron-band,SC_IronBased,rational,inter,Debye(hole-band) / Debye(electron-band),,,,1.02153,rational,1,0.0210809,1.02153,0.0210809,1.02153,0.0210809
BaFe2(As0.7P0.3)2,hole-band,SC_IronBased,mixed,intra,thermal@Tc→gap(Δ),3,8.06402,0.576336,2.17509,rational,2.14286,0.0148195,2.1741,0.0143711,2.16907,0.012085
